app_id,app_name,category,what_it_does,auth_methods,primary_auth_for_toolkit,auth_complexity,access_model,access_notes,public_api,api_protocols,api_breadth,api_surface_summary,mcp_status,mcp_url,buildability_verdict,main_blocker,opportunity_score,confidence,confidence_score,verification_status,human_review_required,developer_docs_url,api_docs_url,auth_docs_url,pricing_or_access_url,evidence_urls,notes_short
86,QuickBooks,Finance and Fintech,"QuickBooks is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://developer.intuit.com/app/developer/qbo/docs/get-started,https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account,https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization,,https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account | https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization | https://developer.intuit.com/app/developer/qbo/docs/get-started | https://intuit.com/,buildable_with_caveats; primary blocker is admin_setup_required.
87,Xero,Finance and Fintech,"Xero is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://developer.xero.com/documentation/,https://developer.xero.com/documentation/api/accounting/overview,https://developer.xero.com/documentation/guides/oauth2/overview,,https://developer.xero.com/documentation/ | https://developer.xero.com/documentation/api/accounting/overview | https://developer.xero.com/documentation/guides/oauth2/overview | https://xero.com/,buildable_with_caveats; primary blocker is admin_setup_required.
88,Brex,Finance and Fintech,"Brex is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",unclear,unclear,unclear,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_with_caveats,paid_plan_required,6,medium,0.68,not_checked,unclear,https://developer.brex.com/,https://developer.brex.com/openapi,,,https://brex.com/ | https://developer.brex.com/ | https://developer.brex.com/openapi,buildable_with_caveats; primary blocker is paid_plan_required.
89,Ramp,Finance and Fintech,"Ramp is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",unclear,unclear,unclear,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_with_caveats,paid_plan_required,6,medium,0.68,not_checked,unclear,https://docs.ramp.com/,https://docs.ramp.com/developer-api/v1/overview/introduction,,,https://docs.ramp.com/ | https://docs.ramp.com/developer-api/v1/overview/introduction | https://ramp.com/,buildable_with_caveats; primary blocker is paid_plan_required.
90,PitchBook,Finance and Fintech,"PitchBook is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",unclear,unclear,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,possible_but_gated,app_review_or_business_verification,5,low,0.3,flagged,yes,,,,,https://pitchbook.com/,possible_but_gated; primary blocker is app_review_or_business_verification.
91,NotebookLM,"AI, Research and Media-native","NotebookLM is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,possible_but_gated,app_review_or_business_verification,5,medium,0.68,not_checked,unclear,https://cloud.google.com/gemini,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/gemini,,,https://cloud.google.com/ | https://cloud.google.com/gemini | https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/gemini,possible_but_gated; primary blocker is app_review_or_business_verification.
92,Otter AI,"AI, Research and Media-native","Otter AI is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, MCP",moderate,"First-pass API surface classified as moderate using discovered REST, MCP source evidence.",official,https://help.otter.ai/hc/en-us/articles/40159228153751-Otter-MCP-Server,buildable_now,none,8,medium,0.65,not_checked,unclear,https://help.otter.ai/,,,,https://help.otter.ai/ | https://help.otter.ai/hc/en-us/articles/40159228153751-Otter-MCP-Server | https://otter.ai/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
93,Fathom,"AI, Research and Media-native","Fathom is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://fathom.video/,unclear_needs_review; primary blocker is unclear_access.
94,Consensus,"AI, Research and Media-native","Consensus is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://consensus.app/,unclear_needs_review; primary blocker is unclear_access.
95,Reducto,"AI, Research and Media-native","Reducto is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://reducto.ai/,unclear_needs_review; primary blocker is unclear_access.
96,Devin,"AI, Research and Media-native","Devin is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, MCP",moderate,"First-pass API surface classified as moderate using discovered REST, MCP source evidence.",official,https://docs.devin.ai/integrations/mcp,buildable_now,none,8,medium,0.68,not_checked,unclear,https://docs.devin.ai/,https://docs.devin.ai/api-reference/overview,,,https://devin.ai/ | https://docs.devin.ai/ | https://docs.devin.ai/api-reference/overview | https://docs.devin.ai/integrations/mcp,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
97,higgsfield,"AI, Research and Media-native","higgsfield is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://higgsfield.ai/,unclear_needs_review; primary blocker is unclear_access.
98,Mermaid CLI,"AI, Research and Media-native","Mermaid CLI is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",No hosted app auth / CLI or open-source usage,No hosted app auth / CLI or open-source usage,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,no_or_unclear,REST,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered REST source evidence.,none_found,,unclear_needs_review,unclear_access,2,low,0.35,flagged,yes,https://github.com/mermaid-js/mermaid-cli,https://github.com/mermaid-js/mermaid-cli,,,https://github.com/ | https://github.com/mermaid-js/mermaid-cli,unclear_needs_review; primary blocker is unclear_access.
99,YouTube Transcript,"AI, Research and Media-native","YouTube Transcript is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://transcriptapi.com/,https://transcriptapi.com/docs,,,https://transcriptapi.com/ | https://transcriptapi.com/docs,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
100,Grain,"AI, Research and Media-native","Grain is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://grain.com/,unclear_needs_review; primary blocker is unclear_access.
